episode,reward,steps,completed_lap,collisions,epsilon
389,7148.276139755186,1909,1,29,0.3107538967346881
390,6500.462024879414,1765,1,24,0.30982163504448407
391,2816.336624393466,632,1,4,0.3088921701393506
392,5739.171720724087,1491,1,19,0.30796549362893255
393,3824.9384410375505,938,1,10,0.30704159714804574
394,3902.1430050468557,1047,1,13,0.3061204723566016
395,3395.3556233978366,822,1,9,0.3052021109395318
396,4440.959191303261,1151,1,13,0.3042865046067132
397,3755.424443779005,902,1,12,0.30337364509289305
398,4578.032061061872,1152,1,15,0.30246352415761435
399,3239.052463226327,756,1,7,0.3015561335851415
400,3776.462416496286,868,1,8,0.30065146518438607
401,3958.410383739487,1028,1,11,0.2997495107888329
402,3664.5793551349752,818,1,8,0.2988502622564664
403,3740.770398359308,981,1,11,0.29795371146969696
404,3236.265599918375,730,1,6,0.29705985033528787
405,3487.386990823757,788,1,9,0.296168670784282
406,3503.924734497082,825,1,8,0.29528016477192914
407,2638.1479513549834,563,1,3,0.29439432427761336
408,4527.335816040056,1138,1,12,0.2935111413047805
409,3196.9196667862025,729,1,5,0.29263060788086614
410,2992.6977392578206,668,1,6,0.2917527160572235
411,3081.2429045868003,709,1,6,0.29087745790905184
412,3566.95251490594,829,1,8,0.2900048255353247
413,3389.546298122413,815,1,8,0.28913481105871874
414,3312.165246696482,739,1,7,0.28826740662554257
415,2841.633336315161,682,1,5,0.28740260440566595
416,3206.336396402127,730,1,6,0.28654039659244895
417,3117.0120514679015,736,1,6,0.2856807754026716
418,3848.8428958130016,894,1,9,0.2848237330764636
419,3317.5189230918954,765,1,7,0.2839692618772342
420,3040.784423446662,635,1,4,0.2831173540916025
421,5265.434381637575,1357,1,15,0.28226800202932767
422,2646.121771240242,585,1,3,0.28142119802323967
423,3641.2911400604344,911,1,9,0.28057693442917
424,3686.598224029553,947,1,9,0.27973520362588244
425,3483.3324839687484,867,1,10,0.2788959980150048
426,3678.3651108360355,832,1,8,0.2780593100209598
427,3484.986110191352,841,1,9,0.2772251320908969
428,3253.784925136575,767,1,8,0.2763934566946242
429,2835.9143306732276,615,1,4,0.2755642763245403
430,3305.4468461036763,795,1,8,0.27473758349556665
