episode,reward,steps,laps,collisions,speed
523,3583.493421535499,476,1,9,65.43952862284583
524,4306.741664433479,625,1,14,65.43952862284583
525,3718.2906439209014,523,1,11,95.0
526,2953.640591831212,379,1,7,95.0
527,3356.8269308853232,506,1,12,95.0
528,3806.0095385742284,564,1,13,95.0
529,3295.9667894601885,475,1,10,95.0
530,2880.78762691498,401,1,8,95.0
531,4913.152052106856,743,1,17,65.43952862284583
532,3796.5909252929755,561,1,13,68.28881239386307
533,5344.490121459953,755,1,16,95.0
534,4879.307395935061,710,1,16,68.28881239386307
535,4068.2716593551677,571,1,12,95.0
536,3327.71846633912,457,1,9,95.0
537,3551.4910445022683,491,1,10,95.0
538,3538.51833454133,497,1,10,95.0
539,5034.980802230835,841,1,21,95.0
540,2891.1922727775604,364,1,6,95.0
541,3265.901237792973,454,1,9,95.0
542,2865.1203126144446,424,1,10,0.0
543,3863.569740810404,558,1,12,95.0
544,4379.422380180365,674,1,16,95.0
545,3513.3196466255276,501,1,11,68.28881239386307
546,3420.7360717678093,478,1,10,95.0
547,3611.6266805458117,546,1,13,68.28881239386307
548,4092.0385582542535,652,1,16,65.43952862284583
549,3432.125237421996,511,1,11,65.43952862284583
550,3429.665692749032,503,1,11,65.43952862284583
551,3360.746953811649,473,1,10,95.0
552,3294.4617321682044,499,1,11,65.43952862284583
553,3143.397273836142,442,1,9,65.43952862284583
554,3363.8681477737505,449,1,8,95.0
555,2955.284758987432,353,1,6,95.0
556,3543.288999366768,475,1,9,95.0
557,4339.0005744743485,676,1,17,95.0
558,2894.650038394931,327,1,5,95.0
559,3184.0506091690163,447,1,9,95.0
560,4460.841354293839,679,1,16,95.0
561,3191.313225765236,464,1,10,95.0
562,3218.1431838607905,447,1,9,65.43952862284583
563,3225.8267873668724,443,1,9,65.43952862284583
564,3305.177701721196,432,1,8,95.0
565,3025.3346344757106,436,1,8,95.0
566,3399.799731216438,437,1,8,95.0
567,3815.103259887703,618,1,16,65.43952862284583
568,3203.583698730472,451,1,9,65.43952862284583
569,3955.827956800469,566,1,13,65.43952862284583
570,3979.4132047271855,597,1,14,95.0
571,4793.088912963862,710,1,16,95.0
572,4380.552114877713,677,1,16,95.0
573,4532.07440124513,682,1,16,95.0
574,2864.6619689846084,413,1,9,65.43952862284583
575,3850.9618546295283,551,1,12,95.0
576,3745.3484930420004,603,1,15,68.28881239386307
577,4199.531908912668,619,1,14,95.0
578,2973.910802726755,421,1,9,95.0
579,3765.337761230477,544,1,12,95.0
580,3163.033082885747,449,1,9,65.43952862284583
581,2821.479078979494,354,1,6,95.0
582,3532.912132089144,531,1,12,95.0
583,2942.3099068450983,356,1,6,68.28881239386307
584,3009.8945238685633,397,1,7,95.0
585,2681.556197090154,299,1,4,95.0
586,3191.976208496101,445,1,9,65.43952862284583
587,3351.0302055931174,437,1,9,95.0
588,2690.1320609664945,347,1,6,95.0
589,2859.708613891605,349,1,6,95.0
590,4546.689382095345,674,1,16,95.0
591,2958.068710174565,403,1,8,95.0
592,2941.320951521404,430,1,9,95.0
593,3802.991359863284,512,1,10,95.0
594,2740.9033038520834,308,1,3,95.0
595,4265.797617797872,666,1,16,95.0
596,2688.3682366943344,322,1,5,65.41655052791828
597,4786.288002710346,811,1,22,94.24
598,3553.0804443359375,490,1,10,95.0
599,3958.063615226752,595,1,13,95.0
600,3803.96473228455,569,1,13,95.0
601,2648.889259757997,338,1,6,68.28881239386307
602,3189.338038940436,384,1,6,95.0
603,3938.7733602905323,578,1,13,95.0
604,3423.6607197952294,484,1,10,95.0
605,3625.11067081452,517,1,11,65.43952862284583
606,4038.8716368866053,594,1,13,95.0
607,3535.4124542236373,450,1,8,65.43952862284583
608,3845.5628491211005,531,1,11,95.0
609,2797.0694179534953,395,1,8,95.0
610,3243.1446061325123,454,1,9,95.0
611,4801.394155530937,776,1,20,65.43952862284583
612,6907.865376396149,1249,1,37,95.0
613,4674.702032508866,793,1,22,61.70190323677247
614,4217.407503404625,623,1,14,95.0
615,2930.8822266006505,408,1,9,95.0
616,3070.398583707812,437,1,9,95.0
617,3033.4722679710426,422,1,9,65.43952862284583
618,4068.2735297584604,608,1,14,95.0
619,3345.2071357154905,473,1,10,95.0
620,3055.723438949585,399,1,7,95.0
621,3173.4499378585874,388,1,7,95.0
622,3176.762932405475,447,1,9,68.28881239386307
623,3211.0466902160706,448,1,9,65.07470323677248
624,4188.976711130158,660,1,16,68.28881239386307
625,3273.065461692816,467,1,10,95.0
626,4656.141480693821,737,1,18,95.0
627,3735.2674679946945,494,1,9,95.0
628,3561.310609531405,455,1,8,95.0
629,3918.6765220451425,576,1,12,95.0
630,3096.0665312385604,427,1,8,95.0
631,3214.8852557373093,449,1,9,71.11530189471218
632,3335.719646301278,488,1,10,95.0
633,3552.403853759774,517,1,11,65.0892000560695
634,3051.0629323577946,372,1,6,95.0
635,3020.471016082771,382,1,7,95.0
636,3377.4189599609485,467,1,10,0.0
637,4040.8784527587977,591,1,13,65.2012269637148
638,3927.4572729492265,563,1,12,95.0
