episode,reward,steps,laps,collisions,speed
182,3255.3761564540982,951,1,10,72.97205590064368
183,3103.8753842353885,800,1,11,32.89082430713595
184,4016.9658408737346,902,1,12,50.29410590184742
185,3581.508238945017,822,1,9,57.92697670508065
186,2818.7189523124744,658,1,7,48.17961722827515
187,3211.797353096016,674,1,8,43.928518065196926
188,2551.3574922275598,549,1,5,41.55873043948688
189,2711.316330237391,534,1,5,53.558014194290685
190,3051.484000263221,632,1,6,52.49829013985265
191,2957.3299815368696,639,1,7,50.74170242167909
192,2901.9627124023477,579,1,6,54.21873509190095
193,2667.1826373291055,549,1,5,58.954695006677234
194,2615.0554979324397,560,1,5,65.80809757325113
195,2766.78280281067,513,1,4,67.4744217457872
196,2987.8966949653723,694,1,7,59.64595738301055
197,2947.6969789314344,541,1,5,56.781193997367666
198,3801.8087317276127,936,1,12,55.58358191375444
199,3057.5066120481583,712,1,9,34.52661853782188
200,3545.167785301218,778,1,10,66.68698098741565
201,2524.0913494968495,433,1,3,41.446899117563895
202,3003.806618652348,582,1,6,53.28407527038494
203,3653.5308605957134,771,1,11,0.0
204,3138.1406433105567,640,1,6,48.023206986627414
205,3793.9455306625464,812,1,9,45.172547110669335
206,3424.5938614273186,778,1,10,54.84935984160625
207,2834.7285760498075,552,1,3,85.11027595501226
208,3180.4603108978313,707,1,7,69.4384709113776
209,4205.3127239990345,1011,1,11,54.04004670198196
210,3073.6147094726634,650,1,9,74.19098256047211
211,2916.0422926330652,553,1,6,46.43526396851271
212,3181.280190658581,720,1,7,74.88320242599791
213,3615.788178100597,778,1,9,46.74119947090125
214,3656.819858169566,805,1,10,65.13245359222103
215,3023.400249195107,590,1,7,80.28786016387367
216,2557.5254130172757,421,1,3,42.42498859567235
217,2637.1017742919944,461,1,5,95.0
218,2858.93829101563,553,1,5,34.295291684279
219,3249.8369628906366,705,1,9,68.1518967577336
220,2609.7995395088215,443,1,3,73.5310319309841
221,3373.1957546329613,682,1,7,39.49316443308143
222,3975.2148884773424,920,1,11,66.34755552586444
223,2937.28909608842,604,1,6,41.58119895575792
224,3225.253630752572,719,1,9,67.98029945706615
225,3160.4313181686484,666,1,9,51.61787098639034
226,3365.8512955474944,616,1,6,56.72665833134848
227,2481.9304272604,414,1,2,58.180075440627235
228,2896.302137622838,547,1,6,72.16584958083523
229,3092.2093226051375,647,1,8,53.368756497031995
230,2791.2200294303934,571,1,5,60.17271003078054
231,3092.5705503463832,670,1,9,41.13216500794208
232,3564.3691900634835,813,1,11,54.208053931693506
233,3333.4886108779965,678,1,8,59.41660303090092
234,4134.398205566421,995,1,15,32.467155976481926
235,2983.3922583007893,628,1,5,46.75200184920547
236,2994.3700115537713,707,1,7,27.52843081802341
237,2802.9059375000074,529,1,6,65.00050444211259
238,3571.849432773597,829,1,11,44.752089929682924
239,3125.114593505863,665,1,7,46.930752466240136
240,2975.1428367519475,568,1,6,43.736377564797394
241,2986.52776859284,601,1,6,48.3478093241953
242,3205.247495727543,686,1,7,68.18492660952606
243,2563.799592990878,499,1,4,48.421542541441475
