episode,reward,steps,laps,collisions,speed
343,6274.904513626069,1751,1,26,65.29613336230025
344,3323.786554889687,766,1,8,49.49547888517648
345,4158.486300048844,1042,1,13,46.20123289342896
346,5536.466483182904,1494,1,21,57.601477512272226
347,4080.8161122226866,1078,1,13,55.3017369559596
348,4814.898934810171,1371,1,18,39.87647754353662
349,4566.638183145534,1216,1,15,57.902799949580945
350,5139.077440986625,1517,1,22,52.22550811498657
351,6089.587110481238,1797,1,28,68.29788228445565
352,3428.5356800556315,805,1,9,50.27878781884793
353,3289.351274566659,801,1,10,41.454962781116265
354,7409.034191226899,2125,1,29,60.9757537993416
355,3460.852044067394,812,1,7,53.24476441785731
356,2647.480337710387,604,1,6,47.77696442919784
357,7367.130573120056,2078,1,33,50.584143177763444
358,3161.725991430286,693,1,7,63.99629054780125
359,3702.2934686279423,917,1,12,58.5783720649542
360,4973.008911132826,1335,1,18,57.916742869002675
361,4874.673237133033,1325,1,17,69.90471411902955
362,3450.759651489274,884,1,14,48.122684095099274
363,3766.213405761728,1047,1,13,41.81002263933764
364,6271.877286148027,1735,1,27,76.95385025407757
365,5842.254391784646,1489,1,22,51.04661311150935
366,4150.3870082378535,1015,1,14,52.914091142757684
367,4332.21726818086,1110,1,13,56.875599816110196
368,4387.957819404616,1073,1,12,64.16760847163061
369,3533.740952663436,861,1,10,57.14115706774786
370,4692.377946739211,1166,1,14,66.19066516261603
371,2680.422432746892,593,1,5,69.08418047672023
372,3587.124503536239,889,1,10,64.92402799946441
373,3604.6966042137265,882,1,10,53.9483224363781
374,3441.247641944894,840,1,10,37.625933658781115
375,2880.620322723398,619,1,4,50.03393113834338
376,5537.27024871826,1319,1,20,58.82325265069672
377,3080.3133338928296,740,1,6,61.142743894422175
378,3302.5860383415315,768,1,7,51.79069201376225
379,4676.613122596741,1153,1,14,66.62858840011054
380,3868.2013266945037,1023,1,11,59.15231569081097
381,3085.2325599670507,765,1,8,47.94582423604736
382,2787.870413818362,623,1,7,53.83309116576448
383,3151.408204269417,715,1,7,66.21004615478489
384,3669.084037208568,885,1,10,63.005515354096055
385,6001.088477706893,1680,1,26,67.55902252589287
386,4445.591246490485,1026,1,12,51.26167212777235
387,2642.069540233615,509,1,3,59.707087891926456
388,4859.0385545349145,1242,1,17,64.52043356959655
389,4238.947911396043,1083,1,14,64.03810503458328
390,2847.6492980003445,710,1,7,61.35005339421817
391,3121.32659606934,690,1,6,46.62369298306079
392,3735.9436917114367,851,1,10,64.59401482520309
393,3886.8388507080176,844,1,10,57.57178785338052
394,3403.944846248631,840,1,10,34.98614320125593
395,6377.772249412498,1845,1,30,55.505714213043454
396,4457.616931552901,1134,1,15,44.19287081199544
397,2693.8302584075986,603,1,5,61.694306340189236
398,3296.1920156097494,742,1,8,45.936795231669045
399,4496.861981896172,1097,1,13,37.11643643798751
400,4258.488506274237,1141,1,18,47.194329804450575
401,3009.8649461364853,712,1,10,51.16052493030811
402,7996.117191028516,2215,1,35,71.69237519004217
403,4655.455813617711,1299,1,20,43.376617638021145
404,3391.2345556068526,776,1,8,47.135634720904555
405,2649.1276218032895,552,1,4,60.470539608589746
406,3187.4912285041883,704,1,8,41.4916349846964
407,2768.1131811523496,643,1,7,29.862221798581974
408,5285.958189086911,1366,1,22,58.00109366486326
409,3282.9153770256153,746,1,9,51.60531712693098
410,2973.2484374046376,625,1,6,36.83760972293637
411,4227.102675666827,1003,1,15,55.01384204988832
412,3091.053078289043,704,1,7,63.148505697064415
413,2879.955582199101,642,1,5,53.7671167117103
414,3736.7461504364123,888,1,11,75.05125495727076
415,3733.39517896653,906,1,12,51.67543399785517
416,3042.8435653495826,686,1,7,54.604894817987265
417,3449.752552623757,834,1,11,55.04138981598974
418,3642.8304296875117,903,1,11,54.97697675358137
419,3189.7797676086466,705,1,6,70.3568775228555
420,3032.8041178703365,660,1,5,56.572799044722395
421,3356.8083156776543,894,1,9,54.01022526627743
422,2993.3985096550073,682,1,6,64.38066993829088
423,3107.158297195443,703,1,7,61.70885477202833
424,3080.4204380798415,676,1,6,51.19827375718395
425,3906.1754915237534,885,1,8,57.91602900007655
426,6476.248913574191,1555,1,21,55.32469008465848
427,3179.427590389255,744,1,9,69.08253693889091
428,4158.25912702562,1106,1,16,51.50707646061076
429,3831.7611859130934,941,1,11,59.01250098302047
430,3081.5557460784967,630,1,5,64.52066439165179
431,4645.66736083986,1062,1,13,77.95188331813422
432,4422.255726795213,1116,1,15,58.667035807568936
433,3283.9367044067467,732,1,7,58.86225939199036
434,2833.1278438949685,648,1,6,63.535495643924584
435,2690.196748819355,588,1,4,55.30468610191441
436,2750.5664595699373,592,1,5,61.088698082302464
437,3273.8473331451532,755,1,8,53.07381451445012
438,4016.5192502212653,984,1,11,59.72096121942914
439,3321.658809471141,755,1,8,65.32215621611448
440,4762.024868221288,1189,1,14,51.63659492177807
441,3004.793673782357,646,1,6,70.20069053060362
442,2746.103173828135,560,1,5,54.076766570800835
443,4181.958931293501,1213,1,16,58.42126141749505
444,3977.4651583480895,906,1,11,53.562541950169724
445,3337.202380313884,773,1,8,66.6710283574454
446,2675.573605232242,526,1,3,54.26951098032736
447,2874.6154640865416,644,1,7,61.095317775214625
448,3783.6770362281923,903,1,11,39.48102883214359
449,5001.528581085205,1223,1,16,47.88600192095237
450,2951.133459472662,645,1,6,51.90008075025356
451,3231.489563407907,723,1,7,63.14116793380491
452,5160.245101289751,1316,1,15,56.78425109323946
453,2894.8328816223243,636,1,7,51.56953304283542
454,3126.306741008765,792,1,10,54.0355866806555
455,2602.86787353516,617,1,5,79.85250785291798
456,3910.4950652694793,1012,1,15,57.954233698696534
457,4785.942121143346,1189,1,16,56.09660824079822
458,3194.5645057535244,762,1,8,53.388380423936624
459,3037.2154718399142,650,1,6,71.67926036202586
460,4336.809699096691,1028,1,12,51.20631736231195
461,3212.9661911583044,717,1,8,54.03740983121019
462,3059.3449125671473,718,1,8,66.61202159337087
463,3766.5504977512483,876,1,12,53.785185584562214
464,3529.0193941211814,887,1,11,55.98378346807987
465,3704.9025878906336,860,1,11,79.42171816770562
466,2946.157889976508,673,1,7,49.72568794161217
467,3414.9188439226264,852,1,10,77.32878987985652
468,2636.35894653321,579,1,3,68.92970041228483
469,3601.875274429333,797,1,7,73.77552418801517
470,3717.070640144361,917,1,10,74.1920993098287
471,3607.818266601578,899,1,9,54.318193711329144
472,5117.79814603805,1321,1,18,51.19350980545563
473,3349.24591533185,763,1,8,58.73985335499247
474,2917.335657386783,736,1,8,66.45339655716612
475,2666.366108703617,570,1,4,63.49950335847428
476,2973.6361817932216,762,1,7,72.4947645628947
477,2802.6576721298734,556,1,3,77.73536615909012
478,2438.1535986328145,443,1,2,76.85346832681012
479,2919.469710102089,683,1,6,79.83543597986102
480,3958.417103881848,1039,1,14,56.7612411428981
481,2685.04794792176,588,1,5,67.26976341990152
482,3165.028323593146,693,1,7,82.25071539550383
483,2784.7857271575986,538,1,4,80.08713115608151
484,3793.3547330570323,909,1,12,58.39153812715472
485,6386.470373268099,1739,1,25,61.37167415159402
486,2856.490404319769,600,1,5,78.07006736366073
